Season,Striker,total_runs,balls_faced,strike_rate,total_wickets,total_runs_conceded,balls_bowled,economy_rate,Retention,Performance Score
24,Ishan Kishan,320,222,114.8527119025,0,0,0,0.0,1,
24,J Fraser-McGurk,330,150,203.72462604,0,0,0,0.0,1,
24,JC Buttler,359,266,106.99726881857143,0,0,0,0.0,1,
24,JM Bairstow,298,197,140.8785065425,0,0,0,0.0,1,
24,KD Karthik,326,195,164.47652666,0,0,0,0.0,1,
24,KL Rahul,520,398,129.2269649475,0,0,0,0.0,1,
24,MS Dhoni,161,82,189.9151287375,0,0,0,0.0,1,
24,N Pooran,499,296,181.26153221250001,0,0,0,0.0,1,
24,P Simran Singh,334,216,167.97126256666667,0,0,0,0.0,1,
24,PD Salt,435,250,134.96797196666668,0,0,0,0.0,1,
24,PP Shaw,198,125,159.63650736666668,0,0,0,0.0,1,
24,R Parag,573,407,138.83067366999998,0,27,19,1.7846153846,1,
24,RD Gaikwad,583,425,93.07632099125,0,0,0,0.0,1,
24,RG Sharma,417,293,126.417221125,0,0,0,0.0,1,
24,RM Patidar,395,237,163.63054377142856,0,0,0,0.0,1,
24,RR Pant,446,296,131.43352190375,0,0,0,0.0,1,
24,RR Rossouw,211,122,162.9116809,0,0,0,0.0,1,
24,SA Yadav,345,209,149.81551099499998,0,0,0,0.0,1,
24,SD Hope,183,125,152.20178196666666,0,0,0,0.0,1,
24,SS Iyer,351,250,154.60797557142857,0,0,0,0.0,1,
24,SV Samson,531,367,121.58173078,0,0,0,0.0,1,
24,Shubman Gill,426,295,118.8871145257143,0,0,0,0.0,1,
24,TM Head,567,307,174.92533818571428,0,32,10,2.742857142857143,1,
24,Tilak Varma,416,291,145.8438742675,0,8,4,1.5,1,
24,V Kohli,741,497,142.16045865375,0,0,0,0.0,1,
24,VR Iyer,370,238,162.31883937142857,0,28,6,4.0,1,
24,YBK Jaiswal,435,288,153.84615385,0,0,0,0.0,1,
