Striker,Season,Venue,Batting Team,total_runs,balls_faced,strike_rate,Bowler,Bowling Team,total_wickets,total_runs_conceded,balls_bowled,economy_rate
0,11,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,MM Patel,Mumbai Indians,2,18,24,4.5
0,11,"Wankhede Stadium, Mumbai",0,0,0,0,MM Patel,Mumbai Indians,11,197,173,6.832369942
0,12,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,0,0,MM Patel,Mumbai Indians,4,20,24,5
0,12,"Eden Gardens, Kolkata",0,0,0,0,MM Patel,Mumbai Indians,1,32,24,8
0,12,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,MM Patel,Mumbai Indians,1,54,28,11.57142857
0,12,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,MM Patel,Mumbai Indians,0,41,25,9.84
0,12,Subrata Roy Sahara Stadium,0,0,0,0,MM Patel,Mumbai Indians,1,24,25,5.76
MM Patel,12,"Wankhede Stadium, Mumbai",Mumbai Indians,2,7,28.57142857,MM Patel,Mumbai Indians,8,196,162,7.259259259
0,13,"Arun Jaitley Stadium, Delhi",0,0,0,0,MM Patel,Mumbai Indians,0,68,42,9.714285714
0,13,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,MM Patel,Mumbai Indians,0,40,24,10
0,13,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,MM Patel,Mumbai Indians,3,29,25,6.96
MM Patel,17,Green Park,Gujarat Lions,0,1,0,MM Patel,Gujarat Lions,0,22,18,7.333333333
0,17,"Wankhede Stadium, Mumbai",0,0,0,0,MM Patel,Gujarat Lions,1,35,24,8.75
0,13,"Arun Jaitley Stadium, Delhi",0,0,0,0,MM Sharma,Chennai Super Kings,5,42,42,6
MM Sharma,13,"Eden Gardens, Kolkata",Chennai Super Kings,0,2,0,MM Sharma,Chennai Super Kings,1,39,42,5.571428571
0,13,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,MM Sharma,Chennai Super Kings,1,14,7,12
0,13,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,MM Sharma,Chennai Super Kings,7,141,121,6.991735537
0,13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,0,0,MM Sharma,Chennai Super Kings,2,28,25,6.72
0,13,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,MM Sharma,Chennai Super Kings,1,21,24,5.25
0,13,Subrata Roy Sahara Stadium,0,0,0,0,MM Sharma,Chennai Super Kings,3,21,25,5.04
MM Sharma,13,"Wankhede Stadium, Mumbai",Chennai Super Kings,0,3,0,MM Sharma,Chennai Super Kings,0,20,25,4.8
0,14,"Arun Jaitley Stadium, Delhi",0,0,0,0,MM Sharma,Chennai Super Kings,1,51,24,12.75
0,14,Barabati Stadium,0,0,0,0,MM Sharma,Chennai Super Kings,2,38,24,9.5
0,14,"Brabourne Stadium, Mumbai",0,0,0,0,MM Sharma,Chennai Super Kings,3,42,24,10.5
0,14,Dubai International Cricket Stadium,0,0,0,0,MM Sharma,Chennai Super Kings,5,27,36,4.5
0,14,"Eden Gardens, Kolkata",0,0,0,0,MM Sharma,Chennai Super Kings,0,28,18,9.333333333
0,14,JSCA International Stadium Complex,0,0,0,0,MM Sharma,Chennai Super Kings,6,99,72,8.25
0,14,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,MM Sharma,Chennai Super Kings,1,16,18,5.333333333
0,14,Sharjah Cricket Stadium,0,0,0,0,MM Sharma,Chennai Super Kings,2,27,24,6.75
0,14,"Sheikh Zayed Stadium, Abu Dhabi",0,0,0,0,MM Sharma,Chennai Super Kings,1,52,35,8.914285714
MM Sharma,14,"Wankhede Stadium, Mumbai",Chennai Super Kings,1,3,33.33333333,MM Sharma,Chennai Super Kings,2,72,49,8.816326531
MM Sharma,15,"Eden Gardens, Kolkata",Chennai Super Kings,21,8,262.5,MM Sharma,Chennai Super Kings,2,60,48,7.5
0,15,JSCA International Stadium Complex,0,0,0,0,MM Sharma,Chennai Super Kings,1,22,24,5.5
MM Sharma,15,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,2,6,33.33333333,MM Sharma,Chennai Super Kings,0,39,24,9.75
MM Sharma,15,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,2,1,200,MM Sharma,Chennai Super Kings,9,176,148,7.135135135
0,15,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,0,0,MM Sharma,Chennai Super Kings,0,58,25,13.92
0,15,"Sardar Patel Stadium, Motera",0,0,0,0,MM Sharma,Chennai Super Kings,0,33,24,8.25
0,15,Shaheed Veer Narayan Singh International Stadium,0,0,0,0,MM Sharma,Chennai Super Kings,0,17,12,8.5
MM Sharma,15,"Wankhede Stadium, Mumbai",Chennai Super Kings,3,3,100,MM Sharma,Chennai Super Kings,2,76,45,10.13333333
MM Sharma,16,"Arun Jaitley Stadium, Delhi",Punjab Kings,15,9,166.6666667,MM Sharma,Punjab Kings,0,10,13,4.615384615
0,16,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,0,0,MM Sharma,Punjab Kings,3,65,50,7.8
MM Sharma,16,"Eden Gardens, Kolkata",Punjab Kings,1,1,100,MM Sharma,Punjab Kings,0,39,24,9.75
MM Sharma,16,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,14,12,116.6666667,MM Sharma,Punjab Kings,0,33,18,11
MM Sharma,16,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,1,3,33.33333333,MM Sharma,Punjab Kings,6,208,154,8.103896104
0,16,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,0,0,MM Sharma,Punjab Kings,1,20,21,5.714285714
MM Sharma,16,Saurashtra Cricket Association Stadium,Punjab Kings,1,2,50,MM Sharma,Punjab Kings,3,32,24,8
MM Sharma,17,"Arun Jaitley Stadium, Delhi",Punjab Kings,13,14,92.85714286,MM Sharma,Punjab Kings,1,35,25,8.4
MM Sharma,17,"Eden Gardens, Kolkata",Punjab Kings,10,8,125,MM Sharma,Punjab Kings,0,30,18,10
0,17,Holkar Cricket Stadium,0,0,0,0,MM Sharma,Punjab Kings,1,110,64,10.3125
MM Sharma,17,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,6,4,150,MM Sharma,Punjab Kings,2,24,24,6
MM Sharma,17,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,6,12,50,MM Sharma,Punjab Kings,0,6,6,6
MM Sharma,17,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,2,4,50,MM Sharma,Punjab Kings,4,96,67,8.597014925
MM Sharma,17,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,10,6,166.6666667,MM Sharma,Punjab Kings,2,25,24,6.25
MM Sharma,17,Saurashtra Cricket Association Stadium,Punjab Kings,4,3,133.3333333,MM Sharma,Punjab Kings,1,25,25,6
